data,category,region,uf,volume
dez/16,Engrenagens e Sistemas Circulatórios,NORDESTE,BA,58045
dez/16,Engrenagens e Sistemas Circulatórios,SUDESTE,MG,121440
dez/16,Engrenagens e Sistemas Circulatórios,SUDESTE,MG,620
dez/16,Engrenagens e Sistemas Circulatórios,SUL,PR,8804
dez/16,Engrenagens e Sistemas Circulatórios,SUDESTE,RJ,3927364
dez/16,Engrenagens e Sistemas Circulatórios,SUDESTE,RJ,647027
dez/16,Engrenagens e Sistemas Circulatórios,SUL,RS,90887
dez/16,Engrenagens e Sistemas Circulatórios,SUDESTE,SP,615
dez/16,Engrenagens e Sistemas Circulatórios,SUDESTE,SP,581081
dez/16,Engrenagens e Sistemas Circulatórios,SUDESTE,SP,121073
dez/16,Isolante Tipo A,SUDESTE,RJ,929000
dez/16,Isolante Tipo A,SUDESTE,RJ,65381
dez/16,Isolante Tipo A,SUDESTE,SP,97984
dez/16,Isolante Tipo A,SUDESTE,SP,36808
dez/16,Isolante Tipo B,SUDESTE,SP,160
dez/16,Isolante Tipo B,SUDESTE,SP,68991
dez/16,Isolante Tipo B,SUDESTE,SP,14
dez/16,Óleos Lubrificantes Marítimos,SUDESTE,RJ,2368108
dez/16,Óleos Lubrificantes Marítimos,SUDESTE,RJ,290895
dez/16,Óleos Lubrificantes Marítimos,SUDESTE,SP,167072
dez/16,Óleos Lubrificantes Marítimos,SUDESTE,SP,103540
dez/16,Óleos Lubrificantes Ferroviários,SUDESTE,RJ,1110262
dez/16,Óleos Lubrificantes Ferroviários,SUDESTE,RJ,158047
dez/16,Ciclo Otto,NORTE,AM,58784
dez/16,Ciclo Otto,NORDESTE,BA,506990
dez/16,Ciclo Otto,SUDESTE,MG,4285165
dez/16,Ciclo Otto,SUDESTE,MG,6715
dez/16,Ciclo Otto,CENTRO OESTE,MS,102741
dez/16,Ciclo Otto,SUL,PR,478035
dez/16,Ciclo Otto,SUDESTE,RJ,32438977
dez/16,Ciclo Otto,SUDESTE,RJ,7712554
dez/16,Ciclo Otto,SUL,RS,3336
dez/16,Ciclo Otto,SUDESTE,SP,264
dez/16,Ciclo Otto,SUDESTE,SP,4006573
dez/16,Ciclo Otto,SUDESTE,SP,96979
dez/16,Ciclo Diesel,NORTE,AM,54464
dez/16,Ciclo Diesel,NORDESTE,BA,191114
dez/16,Ciclo Diesel,SUDESTE,MG,2370233
dez/16,Ciclo Diesel,SUDESTE,MG,14328
dez/16,Ciclo Diesel,CENTRO OESTE,MS,27660
dez/16,Ciclo Diesel,CENTRO OESTE,MT,2960
dez/16,Ciclo Diesel,SUL,PR,193333
dez/16,Ciclo Diesel,SUDESTE,RJ,25697984
dez/16,Ciclo Diesel,SUDESTE,RJ,3998984
dez/16,Ciclo Diesel,SUL,RS,5248
dez/16,Ciclo Diesel,SUDESTE,SP,3276
dez/16,Ciclo Diesel,SUDESTE,SP,1547291
dez/16,Ciclo Diesel,SUDESTE,SP,157220
dez/16,Motores 2 tempos,NORDESTE,BA,488
dez/16,Motores 2 tempos,SUDESTE,MG,7404
dez/16,Motores 2 tempos,SUL,PR,11475
dez/16,Motores 2 tempos,SUDESTE,RJ,836340
dez/16,Motores 2 tempos,SUDESTE,RJ,84848
dez/16,Motores 2 tempos,SUDESTE,SP,55176
dez/16,Transmissões e Sistemas Hidráulicos,NORTE,AM,19020
dez/16,Transmissões e Sistemas Hidráulicos,NORDESTE,BA,144924
dez/16,Transmissões e Sistemas Hidráulicos,SUDESTE,MG,2651302
dez/16,Transmissões e Sistemas Hidráulicos,SUDESTE,MG,20325
dez/16,Transmissões e Sistemas Hidráulicos,SUL,PR,234704
dez/16,Transmissões e Sistemas Hidráulicos,SUL,PR,10600
dez/16,Transmissões e Sistemas Hidráulicos,SUDESTE,RJ,19105069
dez/16,Transmissões e Sistemas Hidráulicos,SUDESTE,RJ,5266210
dez/16,Transmissões e Sistemas Hidráulicos,SUL,RS,33945
dez/16,Transmissões e Sistemas Hidráulicos,SUDESTE,SP,395
dez/16,Transmissões e Sistemas Hidráulicos,SUDESTE,SP,1873992
dez/16,Transmissões e Sistemas Hidráulicos,SUDESTE,SP,285478
dez/16,Outros Óleos Lubrificantes Acabados,NORDESTE,BA,12799
dez/16,Outros Óleos Lubrificantes Acabados,SUDESTE,MG,1395984
dez/16,Outros Óleos Lubrificantes Acabados,SUDESTE,MG,78775
dez/16,Outros Óleos Lubrificantes Acabados,CENTRO OESTE,MS,10092
dez/16,Outros Óleos Lubrificantes Acabados,CENTRO OESTE,MT,5908
dez/16,Outros Óleos Lubrificantes Acabados,SUL,PR,116200
dez/16,Outros Óleos Lubrificantes Acabados,SUDESTE,RJ,5362149
dez/16,Outros Óleos Lubrificantes Acabados,SUDESTE,RJ,639913
dez/16,Outros Óleos Lubrificantes Acabados,SUL,RS,230688
dez/16,Outros Óleos Lubrificantes Acabados,SUDESTE,SP,346365
dez/16,Outros Óleos Lubrificantes Acabados,SUDESTE,SP,10460959
dez/16,Outros Óleos Lubrificantes Acabados,SUDESTE,SP,5279480
nov/16,Engrenagens e Sistemas Circulatórios,NORDESTE,BA,61402
nov/16,Engrenagens e Sistemas Circulatórios,SUDESTE,MG,120207
nov/16,Engrenagens e Sistemas Circulatórios,SUDESTE,MG,8520
nov/16,Engrenagens e Sistemas Circulatórios,CENTRO OESTE,MS,2780
nov/16,Engrenagens e Sistemas Circulatórios,SUL,PR,3123
nov/16,Engrenagens e Sistemas Circulatórios,SUDESTE,RJ,3154328
nov/16,Engrenagens e Sistemas Circulatórios,SUDESTE,RJ,516974
nov/16,Engrenagens e Sistemas Circulatórios,SUL,RS,77056
nov/16,Engrenagens e Sistemas Circulatórios,SUDESTE,SP,777191
nov/16,Engrenagens e Sistemas Circulatórios,SUDESTE,SP,241647
nov/16,Isolante Tipo A,SUDESTE,RJ,1042000
nov/16,Isolante Tipo A,SUDESTE,RJ,200079
nov/16,Isolante Tipo A,SUDESTE,SP,220
nov/16,Isolante Tipo A,SUDESTE,SP,146660
nov/16,Isolante Tipo A,SUDESTE,SP,4283
nov/16,Isolante Tipo B,SUDESTE,SP,178301
nov/16,Isolante Tipo B,SUDESTE,SP,158
nov/16,Óleos Lubrificantes Marítimos,SUDESTE,RJ,3259960
nov/16,Óleos Lubrificantes Marítimos,SUDESTE,RJ,694121
nov/16,Óleos Lubrificantes Marítimos,SUDESTE,SP,84364
nov/16,Óleos Lubrificantes Marítimos,SUDESTE,SP,47248
nov/16,Óleos Lubrificantes Ferroviários,SUDESTE,RJ,908123
nov/16,Óleos Lubrificantes Ferroviários,SUDESTE,RJ,118232
nov/16,Ciclo Otto,NORTE,AM,39664
nov/16,Ciclo Otto,NORDESTE,BA,262367
nov/16,Ciclo Otto,SUDESTE,MG,3752400
nov/16,Ciclo Otto,SUDESTE,MG,26624
nov/16,Ciclo Otto,CENTRO OESTE,MS,58710
nov/16,Ciclo Otto,CENTRO OESTE,MT,11640
nov/16,Ciclo Otto,SUL,PR,457446
nov/16,Ciclo Otto,SUDESTE,RJ,30222013
nov/16,Ciclo Otto,SUDESTE,RJ,7663116
nov/16,Ciclo Otto,SUL,RS,6334
nov/16,Ciclo Otto,SUDESTE,SP,3465
nov/16,Ciclo Otto,SUDESTE,SP,4051019
nov/16,Ciclo Otto,SUDESTE,SP,251184
nov/16,Ciclo Diesel,NORTE,AM,71016
nov/16,Ciclo Diesel,NORDESTE,BA,104555
nov/16,Ciclo Diesel,SUDESTE,MG,2105973
nov/16,Ciclo Diesel,SUDESTE,MG,17008
nov/16,Ciclo Diesel,CENTRO OESTE,MS,35467
nov/16,Ciclo Diesel,CENTRO OESTE,MT,4060
nov/16,Ciclo Diesel,SUL,PR,142204
nov/16,Ciclo Diesel,SUDESTE,RJ,24546363
nov/16,Ciclo Diesel,SUDESTE,RJ,3903234
nov/16,Ciclo Diesel,SUDESTE,SP,736
nov/16,Ciclo Diesel,SUDESTE,SP,2028461
nov/16,Ciclo Diesel,SUDESTE,SP,582787
nov/16,Motores 2 tempos,NORTE,AM,8760
nov/16,Motores 2 tempos,NORDESTE,BA,783
nov/16,Motores 2 tempos,SUDESTE,MG,24
nov/16,Motores 2 tempos,CENTRO OESTE,MS,20
nov/16,Motores 2 tempos,SUL,PR,497
nov/16,Motores 2 tempos,SUDESTE,RJ,760917
nov/16,Motores 2 tempos,SUDESTE,RJ,61744
nov/16,Motores 2 tempos,SUDESTE,SP,152174
nov/16,Motores 2 tempos,SUDESTE,SP,720
nov/16,Transmissões e Sistemas Hidráulicos,NORTE,AM,73620
nov/16,Transmissões e Sistemas Hidráulicos,NORDESTE,BA,148571
nov/16,Transmissões e Sistemas Hidráulicos,SUDESTE,MG,2901974
nov/16,Transmissões e Sistemas Hidráulicos,SUDESTE,MG,27554
nov/16,Transmissões e Sistemas Hidráulicos,SUL,PR,412608
nov/16,Transmissões e Sistemas Hidráulicos,SUDESTE,RJ,19782378
nov/16,Transmissões e Sistemas Hidráulicos,SUDESTE,RJ,3335393
nov/16,Transmissões e Sistemas Hidráulicos,SUL,RS,34284
nov/16,Transmissões e Sistemas Hidráulicos,SUDESTE,SP,2694
nov/16,Transmissões e Sistemas Hidráulicos,SUDESTE,SP,2482703
nov/16,Transmissões e Sistemas Hidráulicos,SUDESTE,SP,560956
nov/16,Outros Óleos Lubrificantes Acabados,NORDESTE,BA,25280
nov/16,Outros Óleos Lubrificantes Acabados,SUDESTE,MG,1349590
nov/16,Outros Óleos Lubrificantes Acabados,SUDESTE,MG,36960
nov/16,Outros Óleos Lubrificantes Acabados,CENTRO OESTE,MS,14880
nov/16,Outros Óleos Lubrificantes Acabados,CENTRO OESTE,MT,18724
nov/16,Outros Óleos Lubrificantes Acabados,SUL,PR,232831
nov/16,Outros Óleos Lubrificantes Acabados,SUDESTE,RJ,4894167
nov/16,Outros Óleos Lubrificantes Acabados,SUDESTE,RJ,799113
nov/16,Outros Óleos Lubrificantes Acabados,SUL,RS,203945
nov/16,Outros Óleos Lubrificantes Acabados,SUDESTE,SP,350096
nov/16,Outros Óleos Lubrificantes Acabados,SUDESTE,SP,47691973
nov/16,Outros Óleos Lubrificantes Acabados,SUDESTE,SP,45165279
out/16,Engrenagens e Sistemas Circulatórios,NORDESTE,BA,51326
