category,uf,volume
Ciclo Diesel,AM,554780
Ciclo Diesel,BA,285024
Ciclo Diesel,CE,97872
Ciclo Diesel,GO,12210
Ciclo Diesel,MG,26196167
Ciclo Diesel,PR,1637188
Ciclo Diesel,RJ,266006596
Ciclo Diesel,RS,34430
Ciclo Diesel,SP,7575438
Ciclo Otto,AM,469143
Ciclo Otto,BA,951480
Ciclo Otto,CE,178414
Ciclo Otto,GO,1297
Ciclo Otto,MG,42352050
Ciclo Otto,PA,0
Ciclo Otto,PR,5389909
Ciclo Otto,RJ,269293187
Ciclo Otto,RS,41716
Ciclo Otto,SP,36357241
Engrenagens e Sistemas Circulatórios,AM,17500
Engrenagens e Sistemas Circulatórios,BA,183148
Engrenagens e Sistemas Circulatórios,CE,42976
Engrenagens e Sistemas Circulatórios,GO,609
Engrenagens e Sistemas Circulatórios,MG,535007
Engrenagens e Sistemas Circulatórios,PR,67814
Engrenagens e Sistemas Circulatórios,RJ,33569066
Engrenagens e Sistemas Circulatórios,RS,2735476
Engrenagens e Sistemas Circulatórios,SP,7942358
Isolante Tipo A,MG,11744
Isolante Tipo A,RJ,8883374
Isolante Tipo A,SP,6340
Isolante Tipo B,SP,729900
Óleos Lubrificantes Marítimos,RJ,28571307
Óleos Lubrificantes Marítimos,SP,649366
Óleos Lubrificantes Ferroviários,RJ,14497538
Motores 2 tempos,AM,14076
Motores 2 tempos,BA,2028
Motores 2 tempos,CE,2667
Motores 2 tempos,MG,145667
Motores 2 tempos,PR,98250
Motores 2 tempos,RJ,11521631
Motores 2 tempos,RS,7591
Motores 2 tempos,SP,671924
Transmissões e Sistemas Hidráulicos,AM,475440
Transmissões e Sistemas Hidráulicos,BA,507202
Transmissões e Sistemas Hidráulicos,CE,105834
Transmissões e Sistemas Hidráulicos,GO,9988
Transmissões e Sistemas Hidráulicos,MG,37921404
Transmissões e Sistemas Hidráulicos,PR,4606078
Transmissões e Sistemas Hidráulicos,RJ,204744524
Transmissões e Sistemas Hidráulicos,RS,471858
Transmissões e Sistemas Hidráulicos,SP,24657809
Outros Óleos Lubrificantes Acabados,BA,21704
Outros Óleos Lubrificantes Acabados,CE,26561
Outros Óleos Lubrificantes Acabados,MG,30837048
Outros Óleos Lubrificantes Acabados,PR,1855532
Outros Óleos Lubrificantes Acabados,RJ,59840272
Outros Óleos Lubrificantes Acabados,RS,1554714
Outros Óleos Lubrificantes Acabados,SP,29164712
Óleos Lubrificantes para Aviação,GO,240
